,filename,analysis_date,time,location,T_room,T_bath,dPhi_4,dPhi_10,offset,pH_CRM_calc,pH_opt,time_to_eq,flag,pH_raw_mean,pH_raw_median,pH_last2min_mean,pH_last2min_median,slope,lowest_ix,pH_s0_mean,pH_s0_median,pH_s0_stderr,pH_s0_std,pH_s0_intercept,station,bottle,data_index,pH_calc12_total_20,pH_spectro_total_20,pH_vindta_total_20
20,2020-09-15_122345_WALCRN2_2020005959,15/09/2020,12:41,WALCRN2,20.7,20.0,24.265301,53.051502,-0.36425,,8.05,20.0,2.0,8.048814814814815,8.048,8.047408163265308,8.047,2.9626995985922614e-10,72.0,8.047555555555553,8.048,4.849070928143289e-06,0.0005270462766944377,8.047555893319604,WALCRN2,2020005959.0,528.0,8.070242021,8.077866662,8.064515932
21,2020-09-15_124748_NOORDWK2_2020005965,15/09/2020,13:05,NOORDWK2,20.6,20.0,24.265301,53.051502,-0.36425,,8.02,20.0,2.0,8.020604938271603,8.02,8.019591836734692,8.02,9.54960615404261e-11,70.0,8.01990909090909,8.02,5.569184366402922e-06,0.0008312094145936197,8.01990919834776,NOORDWK2,2020005965.0,534.0,8.028199574,8.032324856,8.021760968999999
22,2020-09-15_131320_SCHOUWN10_2020005962,15/09/2020,13:30,SCHOUWN10,20.7,20.0,24.265301,53.051502,-0.36425,,8.04,20.0,2.0,8.036555555555555,8.038,8.038714285714287,8.039,2.9305076920411057e-07,67.0,8.039285714285713,8.039,2.8107135681834624e-06,0.0006112498455017877,8.038962611515974,SCHOUWN10,2020005962.0,531.0,8.043295797,8.052415878,8.04161079
23,2020-09-15_133821_NOORDWK2_2020004017,15/09/2020,13:54,NOORDWK2,19.8,20.0,24.265301,53.051502,-0.36425,,7.79,20.0,2.0,7.812901234567901,7.801,7.7945306122448965,7.792999999999998,7.3807974323983745e-06,66.0,7.7894666666666685,7.79,3.87543458186142e-06,0.001060098827378678,7.797548960673807,NOORDWK2,2020004017.0,460.0,7.822482205,,7.824335383999999
24,2020-09-15_140233_WALCRN2_2020004011,15/09/2020,14:20,WALCRN2,20.3,20.0,24.265301,53.051502,-0.36425,,7.8,20.0,2.0,7.794819277108434,7.798999999999999,7.8005490196078435,7.801,5.259547194021167e-11,70.0,7.8018461538461565,7.802,4.13236642227203e-06,0.0008006407690254897,7.8018462138071465,WALCRN2,2020004011.0,454.0,7.818016638,7.822585205,7.821986889
25,2020-09-15_142745_NOORDWK70_2020004020,15/09/2020,14:44,NOORDWK70,20.6,20.0,24.265301,53.051502,-0.36425,,7.9,20.0,2.0,7.8849285714285715,7.895,7.896807692307693,7.897,1.3071699842896765e-11,68.0,7.8985,7.8985,2.73304650839806e-06,0.0007302967433403438,7.898500014804237,NOORDWK70,2020004020.0,463.0,7.904801718,7.908827735,7.903084423999999
26,2020-09-15_145318_WALCRN70_2020004013,15/09/2020,15:10,WALCRN70,20.0,20.0,24.265301,53.051502,-0.36425,,7.91,20.0,2.0,7.90274074074074,7.905,7.905959183673469,7.9060000000000015,1.4691969280227248e-11,70.0,7.906909090909092,7.907,7.6125984024654705e-06,0.0011361818036337331,7.906909074379888,WALCRN70,2020004013.0,456.0,7.908336639,7.917318592000001,7.910955433
27,2020-09-15_151800_NOORDWK10_2020004018,15/09/2020,15:34,NOORDWK10,21.3,20.0,24.265301,53.051502,-0.36425,,7.81,20.0,2.0,7.822913580246914,7.82,7.817551020408162,7.817,1.7973614317158459e-06,64.0,7.815941176470589,7.816,4.230478884061203e-06,0.0012485285456935364,7.8178824559096824,NOORDWK10,2020004018.0,461.0,7.842937305,,7.839217527000001
28,2020-09-15_154239_TERSLG50_2020004022,15/09/2020,15:58,TERSLG50,20.6,20.0,24.265301,53.051502,-0.36425,,7.85,20.0,2.0,7.844098765432099,7.848,7.848755102040816,7.849,6.880705119906237e-08,63.0,7.849388888888887,7.849,2.4273679077097416e-06,0.0007775443160350934,7.849462687410003,TERSLG50,2020004022.0,465.0,,7.861490875,
29,2020-09-15_160630_NOORDWK20_2020004019,15/09/2020,16:20,NOORDWK20,20.3,20.0,24.265301,53.051502,-0.36425,,7.87,20.0,2.0,7.861777777777776,7.864,7.864714285714286,7.865,1.3675980392819029e-07,55.0,7.865000000000001,7.865,1.3311181022000576e-06,0.0007483314773550383,7.864861516685903,NOORDWK20,2020004019.0,462.0,7.886030036,,7.879383216
30,2020-09-15_163010_TERSLG10_2020004021,15/09/2020,16:43,TERSLG10,20.1,20.0,24.265301,53.051502,-0.36425,,7.88,20.0,2.0,7.876987654320987,7.881,7.882102040816326,7.8820000000000014,9.948494883583356e-12,54.0,7.882296296296297,7.8820000000000014,1.459583752984365e-06,0.0008688991627253835,7.882296306295045,TERSLG10,2020004021.0,464.0,,7.901719251,
31,2020-09-15_165314_CRM2,15/09/2020,17:11,CRM,20.0,20.0,24.265301,53.051502,-0.36425,7.95961498960607,7.95,20.0,2.0,7.946592592592593,7.952000000000001,7.953571428571428,7.954,1.481438683410127e-10,72.0,7.954555555555554,7.955,4.8492164041991975e-06,0.0005270462766949059,7.954555724447416,,,,,,
32,2020-09-16_102128_CRM1,16/09/2020,10:27,CRM,19.8,20.0,24.35375,53.057446,-0.3548,7.95961498960607,7.96,20.0,2.0,7.961675,7.9620000000000015,7.962000000000001,7.961500000000001,1.9606188083742988e-07,24.0,7.962125,7.9620000000000015,3.5825912778713316e-06,0.0009574271077559775,7.962217653122328,,,,,,
33,2020-09-16_103737_GOERE6_2020004016,16/09/2020,10:54,GOERE6,20.5,20.0,24.35375,53.057446,-0.3548,,7.8,20.0,2.0,7.8203209876543225,7.811,7.806571428571428,7.805,5.860750848439113e-06,68.0,7.802538461538463,7.802,4.167637924736074e-06,0.000877058019306673,7.809044247526934,GOERE6,2020004016.0,459.0,7.800076214,7.812665293999999,7.821873225
34,2020-09-16_110016_SCHOUWN10_2020004014,16/09/2020,11:19,SCHOUWN10,20.0,20.0,24.35375,53.057446,-0.3548,,7.83,20.0,2.0,7.823839506172841,7.8279999999999985,7.8298367346938775,7.83,0.0,75.0,7.831,7.831,1.5936381457797235e-05,0.0008944271910002145,7.831,SCHOUWN10,2020004014.0,457.0,7.843817382999999,7.841246164,7.849171711
35,2020-09-16_112313_WALCRN20_2020004012,16/09/2020,11:45,WALCRN20,20.0,20.0,24.35375,53.057446,-0.3548,,7.94,30.0,2.0,7.927289256198348,7.935,7.935674157303373,7.936,8.06215714358901e-08,90.0,7.937451612903226,7.938,1.3541307787145972e-06,0.0009946091251480963,7.93732462960846,WALCRN20,2020004012.0,455.0,7.935238585,7.944184758,7.935736528
36,2020-09-16_121738_GOERE2_2020004015,16/09/2020,12:46,GOERE2,21.3,20.0,24.35375,53.057446,-0.3548,,7.8,30.0,2.0,7.815166666666666,7.807,7.805920454545455,7.805,1.9048005984843997e-06,114.0,7.802166666666667,7.802,7.211058078557124e-06,0.0004082482904636368,7.805495430794425,GOERE2,2020004015.0,458.0,7.805624205,7.800017919,7.814119917
37,2020-09-16_125016_NOORDWK20_2020003075,16/09/2020,13:13,NOORDWK20,21.0,20.0,24.35375,53.057446,-0.3548,,7.8,30.0,2.0,7.801425,7.803,7.803647727272727,7.8039999999999985,1.3135692381283814e-07,91.0,7.804344827586207,7.8039999999999985,1.4670777216008819e-06,0.0009737945687202212,7.804551723034817,NOORDWK20,2020003075.0,448.0,7.809777467999999,7.8136748670000005,7.810782173
38,2020-09-16_132252_NOORDWK2_2020003073,16/09/2020,13:49,NOORDWK2,20.5,20.0,24.35375,53.057446,-0.3548,,7.78,30.0,2.0,7.781558333333334,7.78,7.779227272727271,7.779,1.690501734745848e-11,107.0,7.778692307692308,7.779,4.889385178162535e-06,0.000947330933431526,7.778692336347464,NOORDWK2,2020003073.0,446.0,7.805403638,7.799294336,7.800171876
39,2020-09-16_135702_GOERE6_2020003072,16/09/2020,14:17,GOERE6,21.3,20.0,24.35375,53.057446,-0.3548,,8.12,30.0,3.0,8.109933333333334,8.119,8.120329545454545,8.121,4.196974647948362e-06,81.0,8.123102564102565,8.123,6.975381812761626e-07,0.001020703364168617,8.116806892174296,GOERE6,2020003072.0,445.0,7.7934628660000005,7.787674944,7.790956821
40,2020-09-16_143102_NOORDWK10_2020003074,16/09/2020,14:50,NOORDWK10,21.4,20.0,24.35375,53.057446,-0.3548,,8.02,30.0,3.0,8.076191666666666,8.047,8.042488636363636,8.025500000000001,3.948858125035017e-07,79.0,8.018463414634148,8.017999999999999,1.2119987239156584e-06,0.0013619390767506735,8.017876986029526,NOORDWK10,2020003074.0,447.0,7.7984185020000005,7.796428275,7.802689176
41,2020-09-16_151745_CRM2_2,16/09/2020,15:35,CRM,20.0,20.0,24.35375,53.057446,-0.3548,,7.97,30.0,2.0,7.970333333333333,7.968,7.967295454545454,7.967,1.3610642531756169e-08,71.0,7.966775510204082,7.967,6.097293095064194e-07,0.0008959470343916807,7.966794906416597,,,,,,
42,2020-09-16_155617_GOERE2_2020003071,16/09/2020,16:19,GOERE2,20.2,20.0,24.35375,53.057446,-0.3548,,7.79,30.0,2.0,7.802625000000001,7.791,7.7908409090909085,7.79,1.5106308934965823e-06,91.0,7.7877241379310345,7.7879999999999985,1.233040291308165e-06,0.0008407714027745222,7.7901034765496755,GOERE2,2020003071.0,444.0,,7.795011191,
43,2020-09-16_162817_CRM_3,16/09/2020,16:49,CRM,20.0,20.0,24.35375,53.057446,-0.3548,,7.97,30.0,2.0,7.953566666666665,7.962999999999999,7.963215909090907,7.963999999999999,1.715428247386604e-08,84.0,7.965388888888887,7.965,8.316263405522062e-07,0.0007663560447350692,7.965362770648973,,,,,,
