EXPOCODE,Cruise_ID,Station_ID,Cast_number,Niskin_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,CTDPRES,Depth,CTDTEMP_ITS90,CTDSAL_PSS78,DIC,DIC_flag,TA,TA_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Nitrate_and_Nitrite,Nitrate_and_Nitrite_flag,Ammonium,Ammonium_flag,pH_initial_talk
06SN20201204,SO279,3,1,6,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,3546.153667259038,3492.191586956532,2.583861778806403,34.925206641593746,2193.256691628071,2.0,2344.8353139616784,2.0,42.58513248794578,2.0,1.4239971369988746,3.0,20.85159593714505,2.5,0.00537173131241,2.0,20.85696766845745,2.0,0.1714070627869015,2.0,7.826992362328928
06SN20201204,SO279,3,1,7,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,2531.292529184259,2498.55833489876,3.3051144678163737,34.99883738111215,2188.990525169509,2.0,2339.255232123447,2.0,33.88449799543157,2.0,1.4034103448411228,2.0,20.96716540946004,2.0,0.0053714383414239,2.0,20.972536847801457,2.0,0.1464937729479251,2.0,7.828742311212326
06SN20201204,SO279,3,1,8,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,2022.7378409090911,1999.100272727272,4.092020454545455,35.07765568181817,2170.0626699705363,2.0,2323.2914633923474,2.0,17.630472854652645,2.0,1.114264243895016,3.0,16.51620861075763,3.0,0.0043945566148357,3.0,16.520603167372467,2.0,0.1816416734132103,2.0,7.833929075909239
06SN20201204,SO279,3,1,9,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,2021.6928863636365,1998.0724772727265,4.096020454545455,35.078772727272735,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,10,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,2019.91569047619,1996.3243095238088,4.109646428571429,35.07989642857143,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,11,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,2017.721095238096,1994.165547619048,4.117629761904762,35.08058333333332,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,12,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,1507.7148188386095,1491.7092457211224,6.228604381254132,35.33264778619152,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,13,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,754.6200415534025,747.9960855145578,10.823087196116536,35.577941320388284,2192.025628319953,2.0,2344.5056330199977,2.0,11.972682546405192,2.0,1.1836501763232334,3.0,18.60746887496672,3.0,0.0131787854683411,2.0,18.62064766043506,2.0,0.2513731302294701,2.0,7.826505298116039
06SN20201204,SO279,3,1,14,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,401.1425992682461,397.977674754478,14.58102452339687,35.944176237242445,2154.794584339409,2.0,2342.8704854638195,2.0,4.16287878914496,2.0,0.7109734375552933,3.0,12.067029606935382,2.0,0.0082955033894577,2.0,12.075325110324838,2.0,0.0746595305051199,2.0,7.90554058454882
06SN20201204,SO279,3,1,15,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,211.52778741227087,209.95259904912857,17.456446298392596,36.39329449852836,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,16,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,119.48477500000004,118.62522499999996,19.08538875,36.62205375,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,17,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,98.01872752613228,97.3182975609754,20.26015031358886,36.84031867595823,2127.3142148327124,2.0,2396.5878034839725,2.0,0.8090064669730547,2.0,0.0297464704553081,2.0,1.0928170539400934,2.0,0.0419376468714181,2.0,1.134754700811512,2.0,0.1394670582002975,2.0,8.054005163162842
06SN20201204,SO279,3,1,18,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,81.87837681159421,81.29672463768118,20.694757971014496,36.92527028985508,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,19,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,65.40679985549117,64.94454190751455,20.69846051300577,36.92720791184978,2116.2509110369274,2.0,2412.1091405857487,2.0,0.5217487796024738,2.0,0.0097523136374294,2.0,0.0117027763649152,2.0,0.0112151606830438,2.0,0.022917937047959,2.0,0.1594503279719709,2.0,8.099522551217657
06SN20201204,SO279,3,1,20,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,49.51923076923076,49.17138461538462,20.69652051282052,36.92791025641026,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
06SN20201204,SO279,3,1,21,2020,12,14,00:24:00,31.280555555555555,-25.00277777777778,37.02916069941728,36.76994587843458,20.692747085761795,36.92795174854291,2113.601212456748,2.0,2414.166465464221,2.0,0.5158971072614388,2.0,0.0043885387196152,2.0,0.0336454635170503,2.0,0.0307197710373067,2.0,0.0643652345543571,3.0,0.6626693466619048,3.0,8.096522770996142
